SeaTemp_mean,SeaTemp_min,SeaTemp_max,Temperature_mean,Temperature_min,Temperature_max,SeaPres_mean,WS_mean,WD_mean,class,segment,segment_day
17.40291667,17.1,18.1,14.15833333,13.2,16,1023.1375,8.283333333,28.75,1,1,1
16.56439815,16.3,17.4,14.37083333,13.1,16.6,1023.758333,7.2625,29.16666667,1,1,2
16.20083333,16,16.7,16.14583333,14.3,19.4,1022.495833,5.1375,17.5,1,1,3
16.3125,16.14,16.5,17.52083333,16.4,20.3,1020.7875,4.533333333,22.91666667,1,1,4
16.60666667,16.48,16.72,18.425,17.1,21.2,1019.804167,5.079166667,26.25,1,1,5
16.93875,16.79,17.09,19.0125,17.4,21.5,1019.470833,3.979166667,25,1,1,6
17.47166667,17.1,17.8,20.9125,18.2,23.5,1018.516667,2.683333333,136.6666667,0,1,7
18.3625,17.9,18.6,21.01666667,20,23.5,1017.0125,3.2125,60.83333333,1,1,8
18.95625,18.66,19.2,21.8375,19.9,24.9,1016.025,2.3625,35.41666667,1,1,9
19.48041667,19.19,19.7,22.05,20.1,25,1015.554167,2.866666667,74.58333333,1,1,10
19.9675,19.7,20.3,23.12916667,21.1,27.2,1013.8875,1.9,103.75,1,1,11
20.55375,20.2,20.9,22.65,19.8,26.9,1014.295833,3.95,42.5,1,1,12
20.88708333,20.67,21,18.3625,17,19.6,1017.433333,8.291666667,26.66666667,1,1,13
20.52128167,20.35654,20.7,17.68920967,16.9,18.660408,1019.004648,8.046946846,26.47449367,1,1,14
19.64906408,19.31,20.347538,17.71984083,17,19.8,1020.948622,7.290815958,25.83416683,1,1,15
19.01208333,18.6,19.4,16.23333333,15.4,17,1023.470833,8.545833333,24.58333333,1,1,16
18.17145833,17.9,18.75,16.20833333,14.2,18.4,1022.883333,7.816666667,23.75,1,1,17
17.80435185,17.64,18.38,17.19583333,15.8,18.6,1021.654167,5.870833333,20,1,1,18
17.68407407,17.5,18.1,17.29583333,16.3,19.9,1019.004167,5.429166667,41.66666667,1,1,19
17.8075,17.7,18.1,18.3,16.2,20.7,1016.054167,3.45,72.91666667,1,1,20
18.10958333,17.9,18.2,18.47083333,17.3,20.1,1015.566667,5.891666667,20.41666667,1,1,21
18.22416667,18.1,18.3,17.39166667,16.6,18.7,1017.879167,5.945833333,20,1,1,22
18.19708333,18,18.4,16.5125,15.4,17.4,1019.925,6.916666667,23.33333333,1,1,23
17.8298455,17.72026,18,15.04597348,14.510644,15.964252,1022.629828,6.630159717,39.44930813,1,1,24
17.2214261,16.9,17.77,15.19332379,14,16.4,1021.7243,6.999272388,20.89786942,1,1,25
16.96875,16.74,17.36,14.22916667,13.5,15.2,1020.4375,6.270833333,18.33333333,1,1,26
16.67291667,16.4,17.1,14.89583333,14.3,15.2,1019.216667,7.466666667,23.75,1,1,27
16.41833333,16.3,16.7,14.69166667,13.7,15.5,1016.166667,4.979166667,19.16666667,1,1,28
16.45583333,16.3,16.64,15.54166667,13.9,21.7,1016.295833,5.245833333,58.75,1,1,29
16.59916667,16.5,16.7,14.79583333,12.3,16.5,1018.441667,6.979166667,23.33333333,1,1,30
16.30885417,16.08,16.66,13.63333333,12.5,14.6,1019.925,8.116666667,23.75,1,1,31
15.79708333,15.6,16.38,13.2875,12.3,14.8,1018.504167,6.95,33.33333333,2,1,32
15.47625,15.3,15.9,13.13333333,11.6,15.3,1016.029167,5.8125,21.66666667,3,1,33
15.26888889,15,15.7,12.275,11.7,13.3,1018.554167,7.2125,20,3,1,34
14.87550926,14.6,15.43,12.54166667,11.3,13.4,1019.3375,6.316666667,58.75,3,1,35
14.73291667,14.6,15.11,12.66666667,12,13.7,1017.095833,5.675,75,3,1,36
14.70375,14.4,15.2,12.35,11.6,13.2,1018.066667,7.529166667,19.16666667,3,1,37
14.36958333,14.1,14.88,11.84583333,11.1,12.6,1018.0875,6.891666667,56.25,3,1,38
14.13291667,13.78,14.52,11.2875,10.5,12.2,1018.85,7.120833333,82.91666667,3,1,39
13.74564815,13.17,14.36,10.49166667,9.7,11.6,1020.391667,7.741666667,13.33333333,3,1,40
13.25083333,12.9,13.9,10.95833333,10.4,12.1,1020.266667,6.195833333,56.66666667,3,1,41
13.09449074,12.9,13.47,11.73333333,11,12.8,1019.495833,5.745833333,42.5,3,1,42
12.95166667,12.6,13.3,10.94583333,9.9,11.9,1021.5125,7.554166667,16.66666667,3,1,43
12.60458333,12.3,12.9,11.05833333,10.4,12.6,1023.066667,7.3375,19.58333333,3,1,44
12.34916667,12.1,12.7,11.48333333,10.9,12.2,1023.7125,5.616666667,13.33333333,3,1,45
12.315625,12.14,12.63,12.8625,10.8,15.3,1023.616667,6.816666667,32.91666667,3,1,46
12.45208333,12.3,12.69,13.15833333,11,15.3,1023.4875,6.291666667,199.1666667,3,1,47
12.78,12.7,12.9,14.09166667,12.4,15.8,1024.158333,6.333333333,71.66666667,3,1,48
13.0125,12.9,13.08,13.10416667,12.4,14,1025.120833,6.866666667,70.41666667,3,1,49
13.06,12.98,13.2,12.9875,12.2,13.9,1024.65,7.704166667,47.08333333,3,1,50
13.08166667,12.91,13.2,13.9,12.2,16,1022.979167,6.716666667,29.16666667,3,1,51
13.275,13.2,13.47,14.5625,12.5,17.3,1021.154167,5.116666667,16.66666667,3,1,52
13.58958333,13.4,13.8,16.5125,14.2,18.4,1019.2875,2.970833333,64.58333333,3,1,53
13.95833333,13.7,14.29,17.475,15.5,19.1,1019.279167,3.958333333,170.8333333,1,1,54
14.505,14.23,14.8,14.71666667,13.1,17.1,1020.258333,7.645833333,32.91666667,1,1,55
14.755,14.52,14.9,14.17916667,12.9,15.1,1018.220833,4.7875,70.83333333,1,1,56
14.95875,14.9,15.21,16.51666667,12.9,21.1,1019.375,5.129166667,65,1,1,57
15.2375,14.9,15.4,12.40416667,11.4,13.6,1024.2875,8.3,16.66666667,1,1,58
15.03037037,14.9,15.2,13.74583333,12.2,16,1021.254167,5.425,17.08333333,1,1,59
15.0975,15.04,15.13,15.47083333,13.4,17.2,1017.3375,3.3875,103.3333333,1,1,60
18.23375,17.92,18.9,14.58333333,13.3,17,1019.816667,7.3,18.33333333,1,2,1
17.69583333,17.4,18.26,16.08333333,14,18.2,1021.029167,5.620833333,15.83333333,1,2,2
17.55541667,17.4,17.9,16.0875,14.6,17.1,1020.175,5.575,101.6666667,1,2,3
17.33958333,17.1,17.7,15.96666667,14.9,17.5,1020.683333,5.858333333,14.16666667,1,2,4
17.26958333,17.1,17.5,17.61666667,15.6,20.3,1019.158333,5.0125,115.8333333,1,2,5
17.41708333,17.12,17.5,15.7,13.5,18,1020.791667,7.358333333,14.16666667,1,2,6
16.92375,16.41,17.47,13.77916667,13,14.9,1022.554167,7.129166667,157.5,1,2,7
16.55125,16.3,17,16.06666667,14.6,17.5,1020.129167,5.308333333,156.6666667,1,2,8
16.62092593,16.5,16.8,16.375,14.4,17.5,1019.191667,6.95,30.41666667,1,2,9
16.42453704,16.14,16.72,14.55833333,13.8,15.3,1019.0625,7.45,16.25,1,2,10
16.0987963,15.81,16.4,13.3625,11.9,15.2,1017.491667,6.804166667,29.16666667,1,2,11
15.83531348,15.728014,15.9262495,15.07276331,12,16.083181,1017.817064,6.170167579,65.46618858,2,2,12
15.28175558,15.1,15.782134,15.48835275,14.6,18.2,1018.37792,5.618097113,56.3750515,3,2,13
15.40384259,15.3,15.5,15.39583333,14.7,16.2,1017.133333,5.275,85.41666667,3,2,14
15.48833333,15.3,15.6,13.60833333,11.6,15.7,1019.8625,7.841666667,11.25,3,2,15
14.79375,14.3,15.6,11.25,10.4,12.3,1022.8375,7.770833333,12.08333333,3,2,16
14.24902778,14,14.8,13.35,12.3,15,1023.833333,6.366666667,113.3333333,3,2,17
14.25083333,14.09,14.62,14.80833333,13.9,16,1021.325,4.995833333,98.33333333,3,2,18
14.48166667,14.3,14.7,14.84583333,13.6,16.3,1018.995833,6.2,14.16666667,3,2,19
14.65208333,14.5,14.8,14.44583333,13.4,15.2,1017.175,5.6875,114.5833333,3,2,20
14.74208333,14.6,14.9,13.41666667,12.8,14.4,1018.266667,7.066666667,40.83333333,3,2,21
14.64375,14.4,14.9,13.37083333,12.7,14,1020.6125,6.445833333,171.25,3,2,22
14.62648148,14.5,14.8,14.24583333,12.6,16.1,1021.741667,5.158333333,100,3,2,23
14.68166667,14.5,14.8,13.85833333,12.7,14.7,1022.754167,7.133333333,16.66666667,3,2,24
14.56375,14.4,14.79,13.29166667,12.1,14.7,1024.141667,6.004166667,112.9166667,3,2,25
14.50458333,14.4,14.67,13.175,12.2,14.7,1024.608333,6.5,301.6666667,3,2,26
14.49393519,14.4,14.6,13.07083333,12.4,13.7,1024.220833,6.554166667,170.4166667,3,2,27
14.41,14.3,14.6,13.09583333,11.9,14.4,1022.8375,6.904166667,70.41666667,3,2,28
14.15518519,13.9,14.5,12.00833333,11.4,12.5,1024.804167,7.829166667,11.25,3,2,29
13.73487319,13.503263,14.3,12.30833333,11.5,14.9,1025.654167,7.558333333,113.3333333,3,2,30
13.54368308,13.36,14,12.97083333,11.9,14.9,1025.033333,7.3375,17.5,3,2,31
13.51,13.3,13.8,12.5375,10.8,14.9,1022.575,5.3875,142.9166667,3,2,32
13.59833333,13.5,13.7,13.5125,12.1,15.5,1020.920833,5.1125,100.4166667,3,2,33
13.75875,13.7,13.9,14.54166667,12.8,16.4,1019.475,4.404166667,185.8333333,1,2,34
14.025,13.9,14.2,16.575,14,20,1017.0125,4.041666667,86.66666667,1,2,35
14.4175,14.2,14.7,17.17083333,15,20,1017.366667,5.05,17.08333333,1,2,36
14.75560185,14.5,14.94444444,17.14583333,14.7,20,1016.433333,3.4375,185.8333333,1,2,37
15.18041667,15,15.5,17.99166667,16.3,20.8,1013.233333,2.841666667,211.25,1,2,38
15.76912037,15.5,16,19.5375,17.2,24.2,1010.004167,1.829166667,247.9166667,1,2,39
